#version: 1.0
#This file will not update if you make any changes.
#aliases,id,metadata
stone,stone,0
grass,grass,0
dirt,dirt,0
cobblestone,cobblestone,0
cobble,cobblestone,0
oakplank,wood,0
oakwood,wood,0
spruceplank,wood,1
sprucewood,wood,1
birchplank,wood,2
birchwood,wood,2
jungleplank,wood,3
junglewood,wood,3
oaksapling,sapling,0
sprucesapling,sapling,1
birchsapling,sapling,2
junglesapling,sapling,3
bedrock,bedrock,0
sand,sand,0
gravel,gravel,0
goldore,gold_ore,0
oregold,gold_ore,0
ironore,iron_ore,0
oreiron,iron_ore,0
coalore,coal_ore,0
orecoal,coal_ore,0
oaktree,log,0
oaklog,log,0
sprucetree,log,1
sprucelog,log,1
birchtree,log,2
birchlog,log,2
jungletree,log,3
junglelog,log,3
oakleaves,leaves,0
oakleaf,leaves,0
spruceleaves,leaves,1
spruceleaf,leaves,1
birchleaves,leaves,2
birchleaf,leaves,2
jungleleaves,leaves,3
jungleleaf,leaves,3
sponge,sponge,0
glass,glass,0
lapislazuliore,lapis_ore,0
orelapislazuli,lapis_ore,0
lapisore,lapis_ore,0
orelapis,lapis_ore,0
lapislazuliblock,lapis_block,0
blocklapislazuli,lapis_block,0
lapisblock,lapis_block,0
blocklapis,lapis_block,0
dispenser,dispenser,0
sandstone,sandstone,0
chiseledsandstone,sandstone,1
creepersandstone,sandstone,1
smoothsandstone,sandstone,2
noteblock,note_block,0
musicblock,note_block,0
poweredtrack,powered_rail,0
poweredrail,powered_rail,0
boostertrack,powered_rail,0
boosterrail,powered_rail,0
detectortrack,detector_rail,0
detectorrail,detector_rail,0
detectingtrack,detector_rail,0
detectingrail,detector_rail,0
stickypistonbase,piston_sticky_base,0
stickypiston,piston_sticky_base,0
cobweb,web,0
spiderweb,web,0
web,web,0
longgrass,long_grass,1
tallgrass,long_grass,1
wildgrass,long_grass,1
fern,long_grass,2
bush,long_grass,2
deadshrub,dead_bush,0
deadbush,dead_bush,0
pistonbase,piston_base,0
piston,piston_base,0
pistonblock,piston_base,0
whitecloth,wool,0
whitewool,wool,0
wool,wool,0
orangecloth,wool,1
orangewool,wool,1
magentacloth,wool,2
magentawool,wool,2
mcloth,wool,2
mwool,wool,2
lightbluecloth,wool,3
lightbluewool,wool,3
lbluecloth,wool,3
lbluewool,wool,3
lbcloth,wool,3
lbwool,wool,3
yellowcloth,wool,4
yellowwool,wool,4
ycloth,wool,4
ywool,wool,4
lightgreencloth,wool,5
lightgreenwool,wool,5
lgreencloth,wool,5
lgreenwool,wool,5
lgcloth,wool,5
lgwool,wool,5
limecloth,wool,5
limewool,wool,5
lcloth,wool,5
lwool,wool,5
pinkcloth,wool,6
pinkwool,wool,6
pcloth,wool,6
pwool,wool,6
darkgraycloth,wool,7
darkgraywool,wool,7
dgraycloth,wool,7
dgraywool,wool,7
dgcloth,wool,7
dgwool,wool,7
graycloth,wool,7
graywool,wool,7
gcloth,wool,7
gwool,wool,7
lightgraycloth,wool,8
lightgraywool,wool,8
lgraycloth,wool,8
lgraywool,wool,8
lgcloth,wool,8
lgwool,wool,8
silvercloth,wool,8
silverwool,wool,8
silvercotton,wool,8
scloth,wool,8
swool,wool,8
cyancloth,wool,9
cyanwool,wool,9
ccloth,wool,9
cwool,wool,9
purplecloth,wool,10
purplewool,wool,10
pcloth,wool,10
pwool,wool,10
bluecloth,wool,11
bluewool,wool,11
browncloth,wool,12
brownwool,wool,12
darkgreencloth,wool,13
darkgreenwool,wool,13
dgreencloth,wool,13
dgreenwool,wool,13
dgcloth,wool,13
dgwool,wool,13
greencloth,wool,13
greenwool,wool,13
gcloth,wool,13
gwool,wool,13
redcloth,wool,14
redwool,wool,14
rcloth,wool,14
rwool,wool,14
blackcloth,wool,15
blackwool,wool,15
blacloth,wool,15
blawool,wool,15
yellowflower,yellow_flower,0
yflower,yellow_flower,0
flower,yellow_flower,0
redrose,red_rose,0
rrose,red_rose,0
rose,red_rose,0
redflower,red_rose,0
rflower,red_rose,0
brownmushroom,brown_mushroom,0
brownshroom,brown_mushroom,0
bmushroom,brown_mushroom,0
bshroom,brown_mushroom,0
redmushroom,red_mushroom,0
redshroom,red_mushroom,0
rmushroom,red_mushroom,0
rshroom,red_mushroom,0
goldblock,gold_block,0
blockgold,gold_block,0
ironblock,iron_block,0
blockiron,iron_block,0
smoothstonestep,step,0
stonestep,step,0
smoothstoneslab,step,0
stoneslab,step,0
sandstonestep,step,1
sandstoneslab,step,1
cobblestonestep,step,3
cobblestep,step,3
cobblestoneslab,step,3
cobbleslab,step,3
brickstep,step,4
brickslab,step,4
stonebrickstep,step,5
stonebrickslab,step,5
netherslab,step,6
netherbrickstep,step,6
netherstep,step,6
netherquartzslab,step,7
netherquartzstep,step,7
blockbrick,brick,0
brickblcok,brick,0
tntblock,tnt,0
blocktnt,tnt,0
tnt,tnt,0
bookcase,bookshelf,0
bookshelf,bookshelf,0
mossycobblestone,mossy_cobblestone,0
mossycobble,mossy_cobblestone,0
mossstone,mossy_cobblestone,0
obsidian,obsidian,0
torch,torch,0
fire,fire,0
flame,fire,0
oakstairs,wood_stairs,0
chest,chest,0
diamondore,diamond_ore,0
orediamond,diamond_ore,0
diamondblock,diamond_block,0
blockdiamond,diamond_block,0
workbench,workbench,0
craftingbench,workbench,0
worktable,workbench,0
craftingtable,workbench,0
furnace,furnace,0
ladder,ladder,0
track,rails,0
rails,rails,0
rail,rails,0
cobblestonestairs,cobblestone_stairs,0
cobblestairs,cobblestone_stairs,0
cobblestonestair,cobblestone_stairs,0
cobblestair,cobblestone_stairs,0
lever,lever,0
smoothstonepressureplate,stone_plate,0
smoothstoneplate,stone_plate,0
stonepressureplate,stone_plate,0
stoneplate,stone_plate,0
woodenpressureplate,wood_plate,0
woodenplate,wood_plate,0
woodpressureplate,wood_plate,0
woodplate,wood_plate,0
redstoneore,redstone_ore,0
oreredstone,redstone_ore,0
redstonetorch,redstone_torch_on,0
smoothstonebutton,stone_button,0
stonebutton,stone_button,0
button,stone_button,0
snowcovering,snow,0
snowcover,snow,0
ice,ice,0
snowblock,snow_block,0
blocksnow,snow_block,0
cactus,cactus,0
clayblock,clay,0
blockclay,clay,0
jukebox,jukebox,0
fence,fence,0
woodenfence,fence,0
woodfence,fence,0
pumpkin,pumpkin,0
netherrack,netherrack,0
netherrock,netherrack,0
soulsand,soul_sand,0
slowsand,soul_sand,0
glowstoneblock,glowstone,0
blockglowstone,glowstone,0
jackolantern,jack_o_lantern,0
pumpkinlantern,jack_o_lantern,0
trapdoor,trap_door,0
hatch,trap_door,0
stonebrick,smooth_brick,0
stonebricks,smooth_brick,0
stonebrickblock,smooth_brick,0
mossystonebrick,smooth_brick,1
mossystonebricks,smooth_brick,1
mossstonebrick,smooth_brick,1
mossstonebricks,smooth_brick,1
crackedstonebrick,smooth_brick,2
crackedstonebricks,smooth_brick,2
chiseledstonebrick,smooth_brick,3
chiseledstonebricks,smooth_brick,3
giantredmushroom,huge_mushroom_1,0
hugeredmushroom,huge_mushroom_1,0
bigredmushroom,huge_mushroom_1,0
giantbrownmushroom,huge_mushroom_2,0
hugebrownmushroom,huge_mushroom_2,0
bigbrownmushroom,huge_mushroom_2,0
ironbars,iron_fence,0
ironfence,iron_fence,0
glasspane,thin_glass,0
flatglass,thin_glass,0
skinnyglass,thin_glass,0
glassflat,thin_glass,0
glassskinny,thin_glass,0
melon,melon,0
watermelon,melon,0
greenmelon,melon,0
melonblock,melon,0
watermelonblock,melon,0
greenmelonblock,melon,0
vines,vine,0
vine,vine,0
woodfencegate,fence_gate,0
woodenfencegate,fence_gate,0
woodengate,fence_gate,0
woodgate,fence_gate,0
gate,fence_gate,0
fencegate,fence_gate,0
brickstairs,brick_stairs,0
redbrickstairs,brick_stairs,0
brickstair,brick_stairs,0
redbrickstair,brick_stairs,0
stonebrickstairs,smooth_stairs,0
stonebrickstair,smooth_stairs,0
purplegrass,mycel,0
mycel,mycel,0
mycelium,mycel,0
mushroomgrass,mycel,0
waterlily,water_lily,0
lilypad,water_lily,0
netherbrickblock,nether_brick,0
blocknetherbrick,nether_brick,0
netherbrickfence,nether_fence,0
netherbrickstairs,nether_brick_stairs,0
enchantmenttable,enchantment_table,0
enchantingtable,enchantment_table,0
enderstone,ender_stone,0
endstone,ender_stone,0
enderdragonegg,dragon_egg,0
dragonegg,dragon_egg,0
redstonelamp,redstone_lamp_off,0
redstonelampoff,redstone_lamp_off,0
oakwoodenplankstep,wood_step,0
oakwoodplankstep,wood_step,0
oakplankstep,wood_step,0
oakwoodenstep,wood_step,0
oakwoodstep,wood_step,0
oakwoodenplankslab,wood_step,0
oakwoodplankslab,wood_step,0
oakwoodenslab,wood_step,0
oakwoodslab,wood_step,0
sprucewoodenplankstep,wood_step,2
sprucewoodplankstep,wood_step,1
spruceplankstep,wood_step,1
sprucewoodenstep,wood_step,1
sprucewoodstep,wood_step,1
sprucewoodenplankslab,wood_step,1
sprucewoodplankslab,wood_step,1
sprucewoodenslab,wood_step,1
sprucewoodslab,wood_step,1
birchwoodenplankstep,wood_step,2
birchwoodplankstep,wood_step,2
birchplankstep,wood_step,2
birchwoodenstep,wood_step,2
birchwoodstep,wood_step,2
birchwoodenplankslab,wood_step,2
birchwoodplankslab,wood_step,2
birchwoodenslab,wood_step,2
birchwoodslab,wood_step,2
junglewoodenplankstep,wood_step,3
junglewoodplankstep,wood_step,3
jungleplankstep,wood_step,3
junglewoodenstep,wood_step,3
junglewoodstep,wood_step,3
junglewoodenplankslab,wood_step,3
junglewoodplankslab,wood_step,3
junglewoodenslab,wood_step,3
junglewoodslab,wood_step,3
sandstairs,sandstone_stairs,0
sandstonestairs,sandstone_stairs,0
sandstair,sandstone_stairs,0
sandstonestair,sandstone_stairs,0
emeraldore,emerald_ore,0
oreemerald,emerald_ore,0
enderchest,ender_chest,0
endchest,ender_chest,0
tripwirehook,tripwire_hook,0
tripwire,tripwire_hook,0
emeraldblock,emerald_block,0
blockemerald,emerald_block,0
sprucestairs,spruce_wood_stairs,0
birchstairs,birch_wood_stairs,0
junglestairs,jungle_wood_stairs,0
beacon,beacon,0
beaconblock,beacon,0
cobblestonewall,cobble_wall,0
cobblewall,cobble_wall,0
cobblestonefence,cobble_wall,0
cobblefence,cobble_wall,0
mosscobblestonewall,cobble_wall,1
mosscobblewall,cobble_wall,1
mosscobblestonefence,cobble_wall,1
mosscstonefence,cobble_wall,1
mosscobblefence,cobble_wall,1
woodenplankbutton,wood_button,0
woodplankbutton,wood_button,0
